GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository Authorization Commons Module/fcrepo-kernel-api,org.fcrepo.kernel.api.rdf,RdfNamespaceRegistry.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
Fedora Repository Authorization Commons Module/fcrepo-kernel-api,org.fcrepo.kernel.api.rdf,DefaultRdfStream,79,70,0,0,8,15,8,8,8,8
Fedora Repository Authorization Commons Module/fcrepo-kernel-api,org.fcrepo.kernel.api.rdf,RdfNamespaceRegistry,0,42,0,2,0,10,0,5,0,4
Fedora Repository Authorization Commons Module/fcrepo-kernel-api,org.fcrepo.kernel.api.services.functions,ConfigurableHierarchicalSupplier,0,76,1,3,0,17,1,5,0,4
Fedora Repository Authorization Commons Module/fcrepo-kernel-api,org.fcrepo.kernel.api.observer,EventType,13,78,0,0,2,11,2,3,2,3
Fedora Repository Authorization Commons Module/fcrepo-kernel-api,org.fcrepo.kernel.api,RequiredRdfContext,0,84,0,0,0,9,0,1,0,1
Fedora Repository Authorization Commons Module/fcrepo-kernel-api,org.fcrepo.kernel.api,RdfLexicon,4,241,4,14,0,99,4,12,0,7
Fedora Repository Authorization Commons Module/fcrepo-kernel-api,org.fcrepo.kernel.api,RdfCollectors,6,18,0,0,2,2,1,2,1,2
Fedora Repository Authorization Commons Module/fcrepo-kernel-api,org.fcrepo.kernel.api.services,BatchService,0,25,0,0,0,8,0,5,0,5
Fedora Repository Authorization Commons Module/fcrepo-kernel-api,org.fcrepo.kernel.api.services,VersionService,0,12,0,0,0,3,0,1,0,1
Fedora Repository Authorization Commons Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InteractionModelViolationException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Authorization Commons Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,OutOfDomainSubjectException,0,11,0,0,0,2,0,1,0,1
